date,value
2020-01-01 00:00:00,0.5
2020-01-01 00:15:00,0.50628302
2020-01-01 00:30:00,0.512565048
2020-01-01 00:45:00,0.518845092
2020-01-01 01:00:00,0.525122159
2020-01-01 01:15:00,0.53139526
2020-01-01 01:30:00,0.537663403
2020-01-01 01:45:00,0.543925599
2020-01-01 02:00:00,0.550180858
2020-01-01 02:15:00,0.556428193
2020-01-01 02:30:00,0.562666617
2020-01-01 02:45:00,0.568895146
2020-01-01 03:00:00,0.575112795
2020-01-01 03:15:00,0.581318583
2020-01-01 03:30:00,0.58751153
2020-01-01 03:45:00,0.593690658
2020-01-01 04:00:00,0.599854991
2020-01-01 04:15:00,0.606003555
2020-01-01 04:30:00,0.612135381
2020-01-01 04:45:00,0.618249499
2020-01-01 05:00:00,0.624344944
2020-01-01 05:15:00,0.630420753
2020-01-01 05:30:00,0.636475968
2020-01-01 05:45:00,0.642509631
2020-01-01 06:00:00,0.648520791
2020-01-01 06:15:00,0.654508497
2020-01-01 06:30:00,0.660471805
2020-01-01 06:45:00,0.666409773
2020-01-01 07:00:00,0.672321462
2020-01-01 07:15:00,0.67820594
2020-01-01 07:30:00,0.684062277
2020-01-01 07:45:00,0.689889548
2020-01-01 08:00:00,0.695686834
2020-01-01 08:15:00,0.701453218
2020-01-01 08:30:00,0.707187791
2020-01-01 08:45:00,0.712889646
2020-01-01 09:00:00,0.718557884
2020-01-01 09:15:00,0.724191608
2020-01-01 09:30:00,0.729789931
2020-01-01 09:45:00,0.735351966
2020-01-01 10:00:00,0.740876837
2020-01-01 10:15:00,0.746363671
2020-01-01 10:30:00,0.751811601
2020-01-01 10:45:00,0.757219767
2020-01-01 11:00:00,0.762587315
2020-01-01 11:15:00,0.767913398
2020-01-01 11:30:00,0.773197174
2020-01-01 11:45:00,0.778437808
2020-01-01 12:00:00,0.783634475
2020-01-01 12:15:00,0.788786352
2020-01-01 12:30:00,0.793892626
2020-01-01 12:45:00,0.798952492
2020-01-01 13:00:00,0.803965149
2020-01-01 13:15:00,0.808929807
2020-01-01 13:30:00,0.813845681
2020-01-01 13:45:00,0.818711995
2020-01-01 14:00:00,0.823527981
2020-01-01 14:15:00,0.828292878
2020-01-01 14:30:00,0.833005934
2020-01-01 14:45:00,0.837666404
2020-01-01 15:00:00,0.842273553
2020-01-01 15:15:00,0.846826653
2020-01-01 15:30:00,0.851324985
2020-01-01 15:45:00,0.855767839
2020-01-01 16:00:00,0.860154513
2020-01-01 16:15:00,0.864484314
2020-01-01 16:30:00,0.868756559
2020-01-01 16:45:00,0.872970573
2020-01-01 17:00:00,0.877125691
2020-01-01 17:15:00,0.881221256
2020-01-01 17:30:00,0.885256622
2020-01-01 17:45:00,0.889231151
2020-01-01 18:00:00,0.893144216
2020-01-01 18:15:00,0.8969952
2020-01-01 18:30:00,0.900783493
2020-01-01 18:45:00,0.904508497
2020-01-01 19:00:00,0.908169626
2020-01-01 19:15:00,0.911766299
2020-01-01 19:30:00,0.91529795
2020-01-01 19:45:00,0.91876402
2020-01-01 20:00:00,0.922163963
2020-01-01 20:15:00,0.925497241
2020-01-01 20:30:00,0.928763328
2020-01-01 20:45:00,0.931961709
2020-01-01 21:00:00,0.935091878
2020-01-01 21:15:00,0.93815334
2020-01-01 21:30:00,0.941145613
2020-01-01 21:45:00,0.944068225
2020-01-01 22:00:00,0.946920712
2020-01-01 22:15:00,0.949702626
2020-01-01 22:30:00,0.952413526
2020-01-01 22:45:00,0.955052986
2020-01-01 23:00:00,0.957620587
2020-01-01 23:15:00,0.960115924
2020-01-01 23:30:00,0.962538604
2020-01-01 23:45:00,0.964888243
2020-01-02 00:00:00,0.967164471
2020-01-02 00:15:00,0.969366929
2020-01-02 00:30:00,0.971495268
2020-01-02 00:45:00,0.973549153
2020-01-02 01:00:00,0.975528258
2020-01-02 01:15:00,0.977432273
2020-01-02 01:30:00,0.979260895
2020-01-02 01:45:00,0.981013836
2020-01-02 02:00:00,0.98269082
2020-01-02 02:15:00,0.984291581
2020-01-02 02:30:00,0.985815867
2020-01-02 02:45:00,0.987263437
2020-01-02 03:00:00,0.988634062
2020-01-02 03:15:00,0.989927526
2020-01-02 03:30:00,0.991143626
2020-01-02 03:45:00,0.992282168
2020-01-02 04:00:00,0.993342972
2020-01-02 04:15:00,0.994325873
2020-01-02 04:30:00,0.995230713
2020-01-02 04:45:00,0.996057351
2020-01-02 05:00:00,0.996805656
2020-01-02 05:15:00,0.997475509
2020-01-02 05:30:00,0.998066805
2020-01-02 05:45:00,0.99857945
2020-01-02 06:00:00,0.999013364
2020-01-02 06:15:00,0.999368479
2020-01-02 06:30:00,0.999644737
2020-01-02 06:45:00,0.999842095
2020-01-02 07:00:00,0.999960522
2020-01-02 07:15:00,1.0
2020-01-02 07:30:00,0.999960522
2020-01-02 07:45:00,0.999842095
2020-01-02 08:00:00,0.999644737
2020-01-02 08:15:00,0.999368479
2020-01-02 08:30:00,0.999013364
2020-01-02 08:45:00,0.99857945
2020-01-02 09:00:00,0.998066805
2020-01-02 09:15:00,0.997475509
2020-01-02 09:30:00,0.996805656
2020-01-02 09:45:00,0.996057351
2020-01-02 10:00:00,0.995230713
2020-01-02 10:15:00,0.994325873
2020-01-02 10:30:00,0.993342972
2020-01-02 10:45:00,0.992282168
2020-01-02 11:00:00,0.991143626
2020-01-02 11:15:00,0.989927526
2020-01-02 11:30:00,0.988634062
2020-01-02 11:45:00,0.987263437
2020-01-02 12:00:00,0.985815867
2020-01-02 12:15:00,0.984291581
2020-01-02 12:30:00,0.98269082
2020-01-02 12:45:00,0.981013836
2020-01-02 13:00:00,0.979260895
2020-01-02 13:15:00,0.977432273
2020-01-02 13:30:00,0.975528258
2020-01-02 13:45:00,0.973549153
2020-01-02 14:00:00,0.971495268
2020-01-02 14:15:00,0.969366929
2020-01-02 14:30:00,0.967164471
2020-01-02 14:45:00,0.964888243
2020-01-02 15:00:00,0.962538604
2020-01-02 15:15:00,0.960115924
2020-01-02 15:30:00,0.957620587
2020-01-02 15:45:00,0.955052986
2020-01-02 16:00:00,0.952413526
2020-01-02 16:15:00,0.949702626
2020-01-02 16:30:00,0.946920712
2020-01-02 16:45:00,0.944068225
2020-01-02 17:00:00,0.941145613
2020-01-02 17:15:00,0.93815334
2020-01-02 17:30:00,0.935091878
2020-01-02 17:45:00,0.931961709
2020-01-02 18:00:00,0.928763328
2020-01-02 18:15:00,0.925497241
2020-01-02 18:30:00,0.922163963
2020-01-02 18:45:00,0.91876402
2020-01-02 19:00:00,0.91529795
2020-01-02 19:15:00,0.911766299
2020-01-02 19:30:00,0.908169626
2020-01-02 19:45:00,0.904508497
2020-01-02 20:00:00,0.900783493
2020-01-02 20:15:00,0.8969952
2020-01-02 20:30:00,0.893144216
2020-01-02 20:45:00,0.889231151
2020-01-02 21:00:00,0.885256622
2020-01-02 21:15:00,0.881221256
2020-01-02 21:30:00,0.877125691
2020-01-02 21:45:00,0.872970573
2020-01-02 22:00:00,0.868756559
2020-01-02 22:15:00,0.864484314
2020-01-02 22:30:00,0.860154513
2020-01-02 22:45:00,0.855767839
2020-01-02 23:00:00,0.851324985
2020-01-02 23:15:00,0.846826653
2020-01-02 23:30:00,0.842273553
2020-01-02 23:45:00,0.837666404
2020-01-03 00:00:00,0.833005934
2020-01-03 00:15:00,0.828292878
2020-01-03 00:30:00,0.823527981
2020-01-03 00:45:00,0.818711995
2020-01-03 01:00:00,0.813845681
2020-01-03 01:15:00,0.808929807
2020-01-03 01:30:00,0.803965149
2020-01-03 01:45:00,0.798952492
2020-01-03 02:00:00,0.793892626
2020-01-03 02:15:00,0.788786352
2020-01-03 02:30:00,0.783634475
2020-01-03 02:45:00,0.778437809
2020-01-03 03:00:00,0.773197174
2020-01-03 03:15:00,0.767913398
2020-01-03 03:30:00,0.762587315
2020-01-03 03:45:00,0.757219767
2020-01-03 04:00:00,0.751811601
2020-01-03 04:15:00,0.746363671
