time,value
2000-01-01 00:00:00.000 +0200,50.0
2000-01-01 01:00:00.000 +0200,53.1426645022241
2000-01-01 02:00:00.000 +0200,56.27290150901481
2000-01-01 03:00:00.000 +0200,59.378332668791856
2000-01-01 04:00:00.000 +0200,62.44667772334458
2000-01-01 05:00:00.000 +0200,65.46580306944345
2000-01-01 06:00:00.000 +0200,68.4237697405125
2000-01-01 07:00:00.000 +0200,71.30888061862176
2000-01-01 08:00:00.000 +0200,74.10972669010238
2000-01-01 09:00:00.000 +0200,76.81523216186912
2000-01-01 10:00:00.000 +0200,79.41469826004025
2000-01-01 11:00:00.000 +0200,81.8978455376556
2000-01-01 12:00:00.000 +0200,84.25485452418904
2000-01-01 13:00:00.000 +0200,86.47640455610943
2000-01-01 14:00:00.000 +0200,88.55371063493624
2000-01-01 15:00:00.000 +0200,90.4785581670372
2000-01-01 16:00:00.000 +0200,92.24333544779088
2000-01-01 17:00:00.000 +0200,93.84106376165768
2000-01-01 18:00:00.000 +0200,95.26542497912985
2000-01-01 19:00:00.000 +0200,96.51078654143022
2000-01-01 20:00:00.000 +0200,97.57222373415884
2000-01-01 21:00:00.000 +0200,98.44553916180747
2000-01-01 22:00:00.000 +0200,99.1272793461314
2000-01-01 23:00:00.000 +0200,99.61474838274069
2000-01-02 00:00:00.000 +0200,99.9060186019073
2000-01-02 01:00:00.000 +0200,99.99993819142988
2000-01-02 02:00:00.000 +0200,99.89613575141216
2000-01-02 03:00:00.000 +0200,99.59502176294384
2000-01-02 04:00:00.000 +0200,99.09778696487534
2000-01-02 05:00:00.000 +0200,98.40639764510595
2000-01-02 06:00:00.000 +0200,97.5235878650056
2000-01-02 07:00:00.000 +0200,96.45284864771814
2000-01-02 08:00:00.000 +0200,95.1984141731008
2000-01-02 09:00:00.000 +0200,93.76524503389064
2000-01-02 10:00:00.000 +0200,92.15900861931112
2000-01-02 11:00:00.000 +0200,90.38605670369036
2000-01-02 12:00:00.000 +0200,88.45340032871583
2000-01-02 13:00:00.000 +0200,86.36868207865245
2000-01-02 14:00:00.000 +0200,84.14014585815946
2000-01-02 15:00:00.000 +0200,81.7766042922192
2000-01-02 16:00:00.000 +0200,79.28740387709196
2000-01-02 17:00:00.000 +0200,76.68238802010612
2000-01-02 18:00:00.000 +0200,73.97185811444047
2000-01-02 19:00:00.000 +0200,71.16653280282672
2000-01-02 20:00:00.000 +0200,68.27750559126096
2000-01-02 21:00:00.000 +0200,65.31620098033919
2000-01-02 22:00:00.000 +0200,62.294329287692506
2000-01-02 23:00:00.000 +0200,59.22384034017463
2000-01-03 00:00:00.000 +0200,56.11687621892288
2000-01-03 01:00:00.000 +0200,52.985723244160496
2000-01-03 02:00:00.000 +0200,49.8427633896132
2000-01-03 03:00:00.000 +0200,46.70042531866898
2000-01-03 04:00:00.000 +0200,43.571135235906574
2000-01-03 05:00:00.000 +0200,40.46726774834678
2000-01-03 06:00:00.000 +0200,37.40109693074376
2000-01-03 07:00:00.000 +0200,34.38474778842552
2000-01-03 08:00:00.000 +0200,31.430148309621604
2000-01-03 09:00:00.000 +0200,28.54898229688369
2000-01-03 10:00:00.000 +0200,25.752643164125622
2000-01-03 11:00:00.000 +0200,23.05218888198918
2000-01-03 12:00:00.000 +0200,20.45829824970212
2000-01-03 13:00:00.000 +0200,17.9812286663487
2000-01-03 14:00:00.000 +0200,15.630775568544491
2000-01-03 15:00:00.000 +0200,13.41623369491608
2000-01-03 16:00:00.000 +0200,11.34636033056412
2000-01-03 17:00:00.000 +0200,9.429340676856729
2000-01-03 18:00:00.000 +0200,7.672755483496979
2000-01-03 19:00:00.000 +0200,6.083551070861587
2000-01-03 20:00:00.000 +0200,4.668011861155547
2000-01-03 21:00:00.000 +0200,3.4317355270072847
2000-01-03 22:00:00.000 +0200,2.3796108557774365
2000-01-03 23:00:00.000 +0200,1.5157984171156158
2000-01-04 00:00:00.000 +0200,0.8437141102147827
2000-01-04 01:00:00.000 +0200,0.3660156558239924
2000-01-04 02:00:00.000 +0200,0.0845920864365856
2000-01-04 03:00:00.000 +0200,0.0005562762142974
2000-01-04 04:00:00.000 +0200,0.1142405401869273
2000-01-04 05:00:00.000 +0200,0.4251953201307668
2000-01-04 06:00:00.000 +0200,0.9321909623220216
2000-01-04 07:00:00.000 +0200,1.6332225801354794
2000-01-04 08:00:00.000 +0200,2.525517982259334
2000-01-04 09:00:00.000 +0200,3.605548635174532
2000-01-04 10:00:00.000 +0200,4.869043616548296
2000-01-04 11:00:00.000 +0200,6.311006504363576
2000-01-04 12:00:00.000 +0200,7.9257351349975025
2000-01-04 13:00:00.000 +0200,9.706844152116515
2000-01-04 14:00:00.000 +0200,11.64729025722005
2000-01-04 15:00:00.000 +0200,13.73940006198014
2000-01-04 16:00:00.000 +0200,15.974900432237376
2000-01-04 17:00:00.000 +0200,18.344951203658923
2000-01-04 18:00:00.000 +0200,20.84018013968631
2000-01-04 19:00:00.000 +0200,23.45071999353398
2000-01-04 20:00:00.000 +0200,26.16624752767864
2000-01-04 21:00:00.000 +0200,28.97602433653924
2000-01-04 22:00:00.000 +0200,31.868939310916637
2000-01-04 23:00:00.000 +0200,34.83355257626868
